Cultivar Name,Female Parent,Male Parent,Breeder,Year
aafje,kewensis,caerulea constance eliott,k. oldegarm,0
abigail,amethystina var. bolosii,loefgrenii corupa,vanderplank,2007
adelheid,rubra,citrina,sebastien wolter,2009
adoroso,incarnata alba,kermesina,henk wouters,2007
adularia,sanguinolenta,citrina,vanderplank,1994
agi,incarnata,caerulea,0,0
aida,decaisneana,aff. oerstedii,leopold sevcik,1998
alabama,selection of incarnata,0,0,0
albarosa,princeps,tucumanensis,maurizio vecchia,0
albert,coriacea,megacoriacea,rosali ziller,2009
albiflora,selection of foetida,0,0,0
albina,(princeps incarnata),aff. oerstedii,leopold sevcik,1996
alena,incarnata,caerulea constance eliott,0,0
alexandre d-j,pura vida 1,lilac sunset,sebastien sabureau,2014
alexia,gritensis,kermesina,henk wouters,2005
alfie,0,0,0,0
alice,selection of edulis,0,0,0
alice gossiaux,inspiration,soi fah,yvan vilain,2021
alisus betica,selection of caerulea,pepa fernandez,0,0
allegra,incarnata,cincinnata (dark pollen),maurizio vecchia,0
allspice,incarnata (?),cincinnata (?),0,0
alva,palmeri var. sublanceolata,foetida var. foetida,margarete m. souza,2008
alwin berger,white wedding,loefgrenii iporanga,lutz schmalfuss / volker lorenz,2011
alyssa,((jutta incarnata) incarnata),incarnata,josh krupnick,2014
alzire,amethyst,amethystina,axel frank / franz duelli,2009
amalia,blue star,amethystina são sebastião,henk wouters,2004
amanda joy,mary jane,???,ronald boender,2007
amberg 96,princeps,caerulea,0,0
ametcaer,amethystina,caerulea,2003,0
amethyst,0,0,0,0
amethyst beauty,princeps,caerulea,0,0
amethyst star,probably synonym for amethyst,0,0,0
amy,selection of trifasciata,patrick worley,1984,0
anastasia,gritensis,caerulea constance eliott,joos brander,2000
andrea,(decaisneana aff. oerstedii),caerulea constance eliott,leopold sevcik,1996
andy,amethyst,caerulea,guido van herck,0
anemona,actinia,caerulea constance eliott,cor laurens,0
angela,violacea,caerulea constance eliott,leopold sevcik,1996
angelface,kermesina,eichleriana,henk wouters,2007
angel lito,gibertii,caerulea,delfin santiago,2019
angelo blu,amethyst,subpeltata,maurizio vecchia,1999
angel rebelle,vitifolia,caerulea avalanche,stephane fehr,2017
aninha,palmeri var. sublanceolata,foetida var. foetida,margarete m. souza,2008
anke,incarnata,amethystina,stefan lang,2005
anna,decaisneana,tucumanensis,leopold sevcik,1993
anna christine,violacea,caerulea,fraser wescott,0
anna-flora,pink passion,caerulea avalanche,sebastien sabureau,2014
annette,kewensis,princeps,axel frank,2000
anni dierckx,annette,caerulea pierre pomie,raoul & patrizia vranken-smeets,2009
annika,pura vida,garckei,0,0
arabesque,aurora,sublanceolata,maurizio vecchia,2010
aracne,tucumanensis,rosacea,maurizio vecchia,0
aragorn,kermesina,oerstedii var. choconiana,roland fischer,0
arapuni,loefgrenii corupa,purple haze,0,2005
arc-en-ciel,princeps,caerulea,0,0
argenta,amethyst,subpeltata,maurizio vecchia,2001
argentina,0,0,0,selection of caerulea
